time_s,target_kmh,meas_kmh,cmd
8.0009,60.0000,57.3466,0.4780
8.0506,60.0000,57.3467,0.4780
8.1009,60.0000,57.3467,0.4780
8.1509,60.0000,57.3468,0.4780
8.2009,60.0000,57.3469,0.4779
8.2509,60.0000,57.3469,0.4779
8.3009,60.0000,57.3470,0.4779
8.3509,60.0000,57.3470,0.4779
8.4009,60.0000,57.3470,0.4779
8.4509,60.0000,57.3471,0.4779
8.5005,60.0000,57.3471,0.4779
8.5509,60.0000,57.3471,0.4779
8.6009,60.0000,57.3472,0.4779
8.6509,60.0000,57.3472,0.4779
8.7009,60.0000,57.3472,0.4779
8.7509,60.0000,57.3472,0.4779
8.8009,60.0000,57.3472,0.4779
8.8509,60.0000,57.3472,0.4779
8.9009,60.0000,57.3473,0.4779
8.9509,60.0000,57.3473,0.4779
9.0009,60.0000,57.3473,0.4779
9.0509,60.0000,57.3473,0.4779
9.1009,60.0000,57.3473,0.4779
9.1509,60.0000,57.3473,0.4779
9.2009,60.0000,57.3473,0.4779
9.2509,60.0000,57.3473,0.4779
9.3004,60.0000,57.3473,0.4779
9.3508,60.0000,57.3473,0.4779
9.4009,60.0000,57.3473,0.4779
9.4509,60.0000,57.3473,0.4779
9.5009,60.0000,57.3473,0.4779
9.5509,60.0000,57.3473,0.4779
9.6009,60.0000,57.3473,0.4779
9.6509,60.0000,57.3473,0.4779
9.7005,60.0000,57.3473,0.4779
9.7509,60.0000,57.3474,0.4779
9.8009,60.0000,57.3474,0.4779
9.8509,60.0000,57.3474,0.4779
9.9009,60.0000,57.3474,0.4779
9.9509,60.0000,57.3474,0.4779
10.0009,60.0000,57.3474,0.4779
10.0509,60.0000,57.3474,0.4779
10.1009,60.0000,57.3474,0.4779
10.1509,60.0000,57.3474,0.4779
10.2009,60.0000,57.3474,0.4779
10.2509,60.0000,57.3474,0.4779
10.3009,60.0000,57.3474,0.4779
10.3508,60.0000,57.3474,0.4779
10.4009,60.0000,57.3474,0.4779
10.4509,60.0000,57.3474,0.4779
10.5009,60.0000,57.3474,0.4779
10.5509,60.0000,57.3474,0.4779
10.6009,60.0000,57.3474,0.4779
10.6508,60.0000,57.3474,0.4779
10.7008,60.0000,57.3474,0.4779
10.7509,60.0000,57.3474,0.4779
10.8009,60.0000,57.3474,0.4779
10.8508,60.0000,57.3474,0.4779
10.9009,60.0000,57.3474,0.4779
10.9509,60.0000,57.3474,0.4779
11.0009,60.0000,57.3474,0.4779
11.0509,60.0000,57.3474,0.4779
11.1012,60.0000,57.3474,0.4779
11.1509,60.0000,57.3474,0.4779
11.2009,60.0000,57.3474,0.4779
11.2509,60.0000,57.3474,0.4779
11.3009,60.0000,57.3474,0.4779
11.3509,60.0000,57.3474,0.4779
11.4009,60.0000,57.3474,0.4779
11.4509,60.0000,57.3474,0.4779
11.5009,60.0000,57.3474,0.4779
11.5509,60.0000,57.3474,0.4779
11.6009,60.0000,57.3474,0.4779
11.6509,60.0000,57.3474,0.4779
11.7009,60.0000,57.3474,0.4779
11.7504,60.0000,57.3474,0.4779
11.8009,60.0000,57.3474,0.4779
11.8510,60.0000,57.3474,0.4779
11.9009,60.0000,57.3474,0.4779
11.9509,60.0000,57.3474,0.4779
12.0009,60.0000,57.3474,0.4779
12.0509,60.0000,57.3474,0.4779
12.1005,60.0000,57.3474,0.4779
12.1509,60.0000,57.3474,0.4779
12.2009,60.0000,57.3474,0.4779
12.2509,60.0000,57.3474,0.4779
12.3004,60.0000,57.3474,0.4779
12.3509,60.0000,57.3474,0.4779
12.4009,60.0000,57.3474,0.4779
12.4509,60.0000,57.3474,0.4779
12.5009,60.0000,57.3474,0.4779
12.5509,60.0000,57.3474,0.4779
12.6009,60.0000,57.3474,0.4779
12.6509,60.0000,57.3474,0.4779
12.7009,60.0000,57.3474,0.4779
12.7509,60.0000,57.3474,0.4779
12.8009,60.0000,57.3474,0.4779
12.8509,60.0000,57.3474,0.4779
12.9008,60.0000,57.3474,0.4779
12.9507,60.0000,57.3474,0.4779
13.0007,60.0000,57.3474,0.4779
13.0507,60.0000,57.3474,0.4779
13.1008,60.0000,57.3474,0.4779
13.1508,60.0000,57.3474,0.4779
13.2008,60.0000,57.3474,0.4779
13.2508,60.0000,57.3474,0.4779
13.3007,60.0000,57.3474,0.4779
13.3509,60.0000,57.3474,0.4779
13.4009,60.0000,57.3474,0.4779
13.4509,60.0000,57.3474,0.4779
13.5009,60.0000,57.3474,0.4779
13.5504,60.0000,57.3474,0.4779
13.6009,60.0000,57.3474,0.4779
13.6510,60.0000,57.3474,0.4779
13.7008,60.0000,57.3474,0.4779
13.7505,60.0000,57.3474,0.4779
13.8009,60.0000,57.3474,0.4779
13.8509,60.0000,57.3474,0.4779
13.9008,60.0000,57.3474,0.4779
13.9508,60.0000,57.3474,0.4779
14.0008,60.0000,57.3474,0.4779
14.0506,60.0000,57.3474,0.4779
14.1008,60.0000,57.3474,0.4779
14.1508,60.0000,57.3474,0.4779
14.2008,60.0000,57.3474,0.4779
14.2505,60.0000,57.3474,0.4779
14.3008,60.0000,57.3474,0.4779
14.3505,60.0000,57.3474,0.4779
14.4009,60.0000,57.3474,0.4779
14.4506,60.0000,57.3474,0.4779
14.5008,60.0000,57.3474,0.4779
14.5508,60.0000,57.3474,0.4779
14.6009,60.0000,57.3474,0.4779
14.6507,60.0000,57.3474,0.4779
14.7008,60.0000,57.3474,0.4779
14.7504,60.0000,57.3474,0.4779
14.8009,60.0000,57.3474,0.4779
14.8509,60.0000,57.3474,0.4779
14.9009,60.0000,57.3474,0.4779
14.9508,60.0000,57.3474,0.4779
15.0009,60.0000,57.3474,0.4779
15.0509,60.0000,57.3474,0.4779
15.1008,60.0000,57.3474,0.4779
15.1508,60.0000,57.3474,0.4779
15.2008,60.0000,57.3474,0.4779
15.2504,60.0000,57.3474,0.4779
15.3004,60.0000,57.3474,0.4779
15.3509,60.0000,57.3474,0.4779
15.4009,60.0000,57.3474,0.4779
15.4506,60.0000,57.3474,0.4779
15.5008,60.0000,57.3474,0.4779
15.5508,60.0000,57.3474,0.4779
15.6005,60.0000,57.3474,0.4779
15.6506,60.0000,57.3474,0.4779
15.7008,60.0000,57.3474,0.4779
15.7504,60.0000,57.3474,0.4779
15.8005,60.0000,57.3474,0.4779
15.8508,60.0000,57.3474,0.4779
15.9007,60.0000,57.3474,0.4779
15.9508,60.0000,57.3474,0.4779
16.0004,60.0000,57.3474,0.4779
16.0505,60.0000,57.3474,0.4779
16.1008,60.0000,57.3474,0.4779
16.1508,60.0000,57.3474,0.4779
16.2004,60.0000,57.3474,0.4779
16.2506,60.0000,57.3474,0.4779
16.3005,60.0000,57.3474,0.4779
16.3509,60.0000,57.3474,0.4779
16.4009,60.0000,57.3474,0.4779
16.4509,60.0000,57.3474,0.4779
16.5009,60.0000,57.3474,0.4779
16.5505,60.0000,57.3474,0.4779
16.6009,60.0000,57.3474,0.4779
16.6509,60.0000,57.3474,0.4779
16.7009,60.0000,57.3474,0.4779
16.7505,60.0000,57.3474,0.4779
16.8009,60.0000,57.3474,0.4779
16.8505,60.0000,57.3474,0.4779
16.9004,60.0000,57.3474,0.4779
16.9508,60.0000,57.3474,0.4779
17.0005,60.0000,57.3474,0.4779
17.0509,60.0000,57.3474,0.4779
17.1009,60.0000,57.3474,0.4779
17.1509,60.0000,57.3474,0.4779
17.2006,60.0000,57.3474,0.4779
17.2505,60.0000,57.3474,0.4779
17.3005,60.0000,57.3474,0.4779
17.3509,60.0000,57.3474,0.4779
17.4009,60.0000,57.3474,0.4779
17.4509,60.0000,57.3474,0.4779
17.5008,60.0000,57.3474,0.4779
17.5509,60.0000,57.3474,0.4779
17.6009,60.0000,57.3474,0.4779
17.6509,60.0000,57.3474,0.4779
17.7009,60.0000,57.3474,0.4779
17.7504,60.0000,57.3474,0.4779
17.8009,60.0000,57.3474,0.4779
17.8508,60.0000,57.3474,0.4779
17.9009,60.0000,57.3474,0.4779
17.9509,60.0000,57.3474,0.4779
18.0009,60.0000,57.3474,0.4779
18.0509,60.0000,57.3474,0.4779
18.1009,60.0000,57.3474,0.4779
18.1509,60.0000,57.3474,0.4779
18.2009,60.0000,57.3474,0.4779
18.2509,60.0000,57.3474,0.4779
18.3010,60.0000,57.3474,0.4779
18.3507,60.0000,57.3474,0.4779
18.4008,60.0000,57.3474,0.4779
18.4504,60.0000,57.3474,0.4779
18.5008,60.0000,57.3474,0.4779
18.5510,60.0000,57.3474,0.4779
18.6005,60.0000,57.3474,0.4779
18.6508,60.0000,57.3474,0.4779
18.7008,60.0000,57.3474,0.4779
18.7509,60.0000,57.3474,0.4779
18.8008,60.0000,57.3474,0.4779
18.8509,60.0000,57.3474,0.4779
18.9008,60.0000,57.3474,0.4779
18.9509,60.0000,57.3474,0.4779
19.0009,60.0000,57.3474,0.4779
19.0509,60.0000,57.3474,0.4779
19.1009,60.0000,57.3474,0.4779
19.1509,60.0000,57.3474,0.4779
19.2009,60.0000,57.3474,0.4779
19.2509,60.0000,57.3474,0.4779
19.3009,60.0000,57.3474,0.4779
19.3509,60.0000,57.3474,0.4779
19.4009,60.0000,57.3474,0.4779
19.4509,60.0000,57.3474,0.4779
19.5009,60.0000,57.3474,0.4779
19.5509,60.0000,57.3474,0.4779
19.6009,60.0000,57.3474,0.4779
19.6509,60.0000,57.3474,0.4779
19.7009,60.0000,57.3474,0.4779
19.7504,60.0000,57.3474,0.4779
19.8004,60.0000,57.3474,0.4779
19.8506,60.0000,57.3474,0.4779
19.9006,60.0000,57.3474,0.4779
19.9507,60.0000,57.3474,0.4779
20.0009,60.0000,57.3474,0.4779
20.0509,60.0000,57.3474,0.4779
20.1008,60.0000,57.3474,0.4779
20.1504,60.0000,57.3474,0.4779
20.2005,60.0000,57.3474,0.4779
20.2509,60.0000,57.3474,0.4779
20.3009,60.0000,57.3474,0.4779
20.3509,60.0000,57.3474,0.4779
20.4009,60.0000,57.3474,0.4779
20.4509,60.0000,57.3474,0.4779
20.5009,60.0000,57.3474,0.4779
20.5509,60.0000,57.3474,0.4779
20.6009,60.0000,57.3474,0.4779
20.6509,60.0000,57.3474,0.4779
20.7009,60.0000,57.3474,0.4779
20.7509,60.0000,57.3474,0.4779
20.8009,60.0000,57.3474,0.4779
20.8509,60.0000,57.3474,0.4779
20.9009,60.0000,57.3474,0.4779
20.9509,60.0000,57.3474,0.4779
21.0009,60.0000,57.3474,0.4779
21.0509,60.0000,57.3474,0.4779
21.1008,60.0000,57.3474,0.4779
21.1509,60.0000,57.3474,0.4779
21.2007,60.0000,57.3474,0.4779
21.2508,60.0000,57.3474,0.4779
21.3004,60.0000,57.3474,0.4779
21.3509,60.0000,57.3474,0.4779
21.4009,60.0000,57.3474,0.4779
21.4509,60.0000,57.3474,0.4779
21.5008,60.0000,57.3474,0.4779
21.5509,60.0000,57.3474,0.4779
21.6009,60.0000,57.3474,0.4779
21.6509,60.0000,57.3474,0.4779
21.7009,60.0000,57.3474,0.4779
21.7509,60.0000,57.3474,0.4779
21.8009,60.0000,57.3474,0.4779
21.8509,60.0000,57.3474,0.4779
21.9009,60.0000,57.3474,0.4779
21.9509,60.0000,57.3474,0.4779
22.0009,60.0000,57.3474,0.4779
22.0509,60.0000,57.3474,0.4779
22.1009,60.0000,57.3474,0.4779
22.1509,60.0000,57.3474,0.4779
22.2009,60.0000,57.3474,0.4779
22.2509,60.0000,57.3474,0.4779
22.3009,60.0000,57.3474,0.4779
22.3509,60.0000,57.3474,0.4779
22.4009,60.0000,57.3474,0.4779
22.4509,60.0000,57.3474,0.4779
22.5009,60.0000,57.3474,0.4779
22.5509,60.0000,57.3474,0.4779
22.6009,60.0000,57.3474,0.4779
22.6509,60.0000,57.3474,0.4779
22.7009,60.0000,57.3474,0.4779
22.7509,60.0000,57.3474,0.4779
22.8010,60.0000,57.3474,0.4779
22.8509,60.0000,57.3474,0.4779
22.9009,60.0000,57.3474,0.4779
22.9509,60.0000,57.3474,0.4779
23.0009,60.0000,57.3474,0.4779
23.0509,60.0000,57.3474,0.4779
23.1009,60.0000,57.3474,0.4779
23.1509,60.0000,57.3474,0.4779
23.2009,60.0000,57.3474,0.4779
23.2509,60.0000,57.3474,0.4779
23.3009,60.0000,57.3474,0.4779
23.3505,60.0000,57.3474,0.4779
23.4005,60.0000,57.3474,0.4779
23.4510,60.0000,57.3474,0.4779
23.5004,60.0000,57.3474,0.4779
23.5509,60.0000,57.3474,0.4779
23.6004,60.0000,57.3474,0.4779
23.6507,60.0000,57.3474,0.4779
23.7006,60.0000,57.3474,0.4779
23.7504,60.0000,57.3474,0.4779
23.8009,60.0000,57.3474,0.4779
23.8505,60.0000,57.3474,0.4779
23.9004,60.0000,57.3474,0.4779
23.9505,60.0000,57.3474,0.4779
24.0009,60.0000,57.3474,0.4779
24.0506,60.0000,57.3474,0.4779
24.1005,60.0000,57.3474,0.4779
24.1504,60.0000,57.3474,0.4779
24.2005,60.0000,57.3474,0.4779
24.2507,60.0000,57.3474,0.4779
24.3004,60.0000,57.3474,0.4779
24.3509,60.0000,57.3474,0.4779
24.4009,60.0000,57.3474,0.4779
24.4506,60.0000,57.3474,0.4779
24.5005,60.0000,57.3474,0.4779
24.5509,60.0000,57.3474,0.4779
24.6005,60.0000,57.3474,0.4779
24.6504,60.0000,57.3474,0.4779
24.7009,60.0000,57.3474,0.4779
24.7505,60.0000,57.3474,0.4779
24.8005,60.0000,57.3474,0.4779
24.8506,60.0000,57.3474,0.4779
24.9008,60.0000,57.3474,0.4779
24.9508,60.0000,57.3474,0.4779
25.0008,60.0000,57.3474,0.4779
25.0507,60.0000,57.3474,0.4779
25.1007,60.0000,57.3474,0.4779
25.1505,60.0000,57.3474,0.4779
25.2009,60.0000,57.3474,0.4779
25.2506,60.0000,57.3474,0.4779
25.3005,60.0000,57.3474,0.4779
25.3508,60.0000,57.3474,0.4779
25.4009,60.0000,57.3474,0.4779
25.4509,60.0000,57.3474,0.4779
25.5009,60.0000,57.3474,0.4779
25.5509,60.0000,57.3474,0.4779
25.6005,60.0000,57.3474,0.4779
25.6509,60.0000,57.3474,0.4779
25.7009,60.0000,57.3474,0.4779
25.7509,60.0000,57.3474,0.4779
25.8009,60.0000,57.3474,0.4779
25.8509,60.0000,57.3474,0.4779
25.9009,60.0000,57.3474,0.4779
25.9509,60.0000,57.3474,0.4779
26.0009,60.0000,57.3474,0.4779
26.0509,60.0000,57.3474,0.4779
26.1004,60.0000,57.3474,0.4779
26.1504,60.0000,57.3474,0.4779
26.2005,60.0000,57.3474,0.4779
26.2509,60.0000,57.3474,0.4779
26.3007,60.0000,57.3474,0.4779
26.3504,60.0000,57.3474,0.4779
26.4004,60.0000,57.3474,0.4779
26.4505,60.0000,57.3474,0.4779
26.5006,60.0000,57.3474,0.4779
26.5504,60.0000,57.3474,0.4779
26.6004,60.0000,57.3474,0.4779
26.6509,60.0000,57.3474,0.4779
26.7004,60.0000,57.3474,0.4779
26.7509,60.0000,57.3474,0.4779
26.8009,60.0000,57.3474,0.4779
26.8509,60.0000,57.3474,0.4779
26.9009,60.0000,57.3474,0.4779
26.9509,60.0000,57.3474,0.4779
27.0009,60.0000,57.3474,0.4779
27.0509,60.0000,57.3474,0.4779
27.1009,60.0000,57.3474,0.4779
27.1509,60.0000,57.3474,0.4779
27.2009,60.0000,57.3474,0.4779
27.2509,60.0000,57.3474,0.4779
27.3004,60.0000,57.3474,0.4779
27.3504,60.0000,57.3474,0.4779
27.4009,60.0000,57.3474,0.4779
27.4507,60.0000,57.3474,0.4779
27.5010,60.0000,57.3474,0.4779
27.5508,60.0000,57.3474,0.4779
27.6005,60.0000,57.3474,0.4779
27.6511,60.0000,57.3474,0.4779
27.7004,60.0000,57.3474,0.4779
27.7504,60.0000,57.3474,0.4779
27.8009,60.0000,57.3474,0.4779
27.8511,60.0000,57.3474,0.4779
27.9004,60.0000,57.3474,0.4779
27.9509,60.0000,57.3474,0.4779
28.0009,60.0000,57.3474,0.4779
28.0510,60.0000,57.3474,0.4779
28.1004,60.0000,57.3474,0.4779
28.1509,60.0000,57.3474,0.4779
28.2009,60.0000,57.3474,0.4779
28.2510,60.0000,57.3474,0.4779
28.3009,60.0000,57.3474,0.4779
28.3508,60.0000,57.3474,0.4779
28.4009,60.0000,57.3474,0.4779
28.4509,60.0000,57.3474,0.4779
